English,Italian
GEAR Z=30,INGRANAGGIO Z=30
PLATE,PIASTRA
PLASTIC PROTECTION,RIPARO VASCA IN PLASTICA PSX12
BASE AASY,BASE AASY GREY
FEG SPRAY FILTER,FILTRO
DECAL COURSE-FINE,ETICHETTA
HANGER FOLDABLE,GANCIO
DRAIN EXTENSION,PROLUNGA SCARICO
"EL,BAINMARIE,1/1GN,TAP(L),1S,500X900X250","BAGNOMARIA EL,GN 1/1,RUB SX,1LATO,H250"
THERMOSTATIC PROBE,SONDA DI TEMPERATURA
"CONTACTOR 7,5KW-15,5A","CONTATTORE 7,5KW-15,5A"
KIT MTR,KIT RIPARAZIONE
"REPL,= 0700293374",REPARATURSATZ F R DECKELDREH
COPPER EVAPORATOR TUBE,CONDUTTURA
M42D 116/235 MAINBOARD,SCHEDA MADRE
MXD-M7D NOOZLE SHEET-STEEL,UGELLO GAS
THERMAL CUTOUT,RELE' TERMICO
KIT_PREVENTIVE MAINTENANCE_GB1,KIT RIPARAZIONE
AUTOMATIC HOPPER,TRAMOGGIA AUTOMATICA
"CONTACT 0,5-2,1MMQ","CONTATTO 0,5-2,1MMQ"
OVERRIDE THERMOSTAT,TERMOSTATO DI SICUREZZA
HEATING ELEMENT CPL,RESISTENZA CPL
SPRINGS,COPPIA MOLLE
PILOT LIGHT,MICROPILOTA
GRINDING WHEEL,MOLA
INSULATING PANEL 700X940MM,"PANNELLO ISOLANTE PER FORNO EL, 700X940"
ROTARY CONTROL,CONTROLLO DI ROTAZIONE
GUIDE RAIL,CONTROGUIDA
"GAS TOP,2 BURN,ECO,1-S,BSPL,400X850X250H","CUCINA GAS 2 FUOCHI,ECOFLAM,1L,ALZ,H250"
LOWER WASHING JOINT,GIUNTO
"PASSTH,BASE,H2,GN,2DOORS,2S,600X800X550H",BASE APERTA PASSANTE600MM 2PORTE 2LATI
PILOT BOX,SCATOLA PILOTA
TRAY KIT,VASSOIO KIT
PUSHER,PRESSATORE
CONNECTION USA,ATTACCO USA
ELBOW 1/2,GOMITO 1/2
D-4LE HOUSING,ALLOGGIAMENTO
GASKET A5 42X38MM,GUARNIZIONE A5 42X38MM
"CONDENSER 30T,VFP50N/52N","CONDENSATORE ALETT, 30T,VFP50N/52N"
SUPPORT BOTTOM,SUPPORTO DI FONDO
LOWER INTERFACE,INTERFACCIA INFERIORE
MICROFILTER,MICROFILTRO
PUMP COVER_AGITATE_BPA-FREE,COPERTURA
BULB ADAPTER KIT,ADATTATORE BULBO KIT
"O-RING DIA,4X2","ANELLO OR DIA,4X2"
M10 WASHER,RONDELLA M10
"FITTING,1/8NPT3/8BARB",RACCORDO
HOPPER LOCKING SLIDE,COPERCHIO
CLAMP 25-40,FASCETTA 25-40
VALVE 1/4,VALVOLA A 3 VIE
TEMP REGULATOR,REGOLATORE TEMPERATURA
HEATING ELEMENT 220V,RESISTENZA 220V
CHOKE-CAPACITOR FILTER,FILTRO LC
ROCKER CAM,CAMMA BILANCIERE
GUIDE SLEEVE,BUSSOLA GUIDA
DEFROSTING ELEMENT 365W,RESISTENZA SBRINAMENTO 365W
HANDLE SX,MANIGLIA SX
WASHER 5X20,RONDELLA 5X20
COMPACT FAN 24VDC,VENTILATORE
BEARING INOX,CUSCINETTO
BALLAST 50HZ,REATTORE 50HZ
KEY 8X7X25,CHIAVE
"GAS TOP,4BURN+S,OVEN,PTH,2S,1000X900X700","CUCINA GAS 4FUOCHI+FORNO ST,PASS,2L,H700"
HEATING PIPE,CONDUTTURA
"PASSTH,BASE,H2,GN,4D,2SIDE,1000X900X550H","VANO PASSANTE,H2,GN,4PORTE,2L,1000XH550"
PAN,RECIPIENTE PENTOLA
"ALUM,LINEAR SHELV,-POLY,TIERS-373X1038MM","SC,LINEARI ALLUM,RIP,POLYETH-373X1038MM"
BOTTOM,FONDO
ORING,"OR 3021 VMQ70 ROSSO 5,23X2,62 (SENS,PIASTRA"
LATCH,SCROCCO PER SERRATURA
STRIPPINGINSTALLATION,STRIPPINGINSTALLAZIONE
BEARING MARK18 PSX12,CUSCINETTO MARK18 PSX12
START CONDENSER,CONDENSATORE
"ALUM,CORNER SHELV,-POLY,TIERS-475X922MM","SC,AD ANG ALLUM,RIP,POLYETH-475X922MM"
TUBE (METER,TUBO
MEMBRANE GH3,MEMBRANA GH3
OVEN SHOVEL HOLDER,SUPPORTO
DANFOSS INSULATED,ISOLANTE
"REPL,= 077018003952",LAMPADA SPIA
DISPLAY CONTROLLER,SCHEDA CONTROLLO COMANDI
Y-FITTING,RACCORDO A Y
PUMP 190W 50HZ,POMPA 190W 50HZ
MAGNET PIN TR300,SUPPORTO SENZA MAGNETE
CONDENSER 35UF,CONDENSATORE 35UF
MOTOR-OPERATED VALVE,VALVOLA SCARICO BOILER MOTORIZZATA
"THERMIC CONTAINER,BEVERAGES,5LT","CONTENITORE TERMICO BEVANDE,5 LT"
STREINER PLATE,PIASTRA
HOVEDBRYTER,INTERRUTTORE PRINCIPALE
FLOUR-HOLDER CUP,CASSETTA PORTA FARINA
DEFROSTER PROBE,SONDA SBRINATORE
"INDUCTION TOP,2 ZONES,2SIDE,500X900X250H",PIANO INDUZIONE 2 ZONE 2 LATI H250
LOWER SPRAY BRACKET,SQUADRETTA
GAS BURNER,BRUCIATORE GAS
"FUSE,6,3X32MM T2A 500V","FUSIBILE 6,3X32MM T2A 500V"
TUBECOUPLING,RACCORDO
GLASS ASSY,KIT VETRI
FRAME INNER DOOR,CORNICE INNER DOOR
ROLLER CASING,COPERTURA
NOZZLE,UGELLO
CUP ASSEMBLY,ASSEMBLAGGIO A COPPA
PICK-UP STOP PL80,ARRESTO PICK-UP PL80
"REPL,= 0780056677",GUARNIZIONE
CLIPS,CLIP
RIGHT COLUMN,COLONNA DESTRA DN 1
AXLE PUMP,BUSSOLA CUSCINETTO
LAMP PROTECTION,PROTEZIONE LAMPADA
PROBE PT100,SONDA
SPRING,MOLLA
"PASSTH,OPEN BASE,H2,GN,2S,600X800X550H","BASE APERTA PASSANTE 600MM,(H2) H550"
MICRO-SWITCH CABLES,CABLAGGIO
ROUND BAR_Φ8*110,BARRA
SUPPORT TRI TR260,SUPPORTO TRI TR260
SOLENOID 120VAC,ELETTROVALVOLA
KNIFE BLADES,LAME COLTELLO
"GASKET DIM,410X560 KIT","GUARNIZIONE MAGNETICA SPORTELLO AX17 DIM,410X560 KIT"
"INSECT KILLER,240MQ",STERMINATORE D'INSETTI 240MQ
CAP NUT M5,DADO TAPPO M5
RISER RECTANGULAR WASHER,RONDELLA
ADJUSTING THICKNESS GROUP,GRUPPO REGOLAZIONE SPESSORE PASTA
PROBE ASSEMBLY_LONG_B-SERIES,SONDA
PYROMETER,PIROMETRO
CONDENSOR,CONDENSATORE
INLET PIPE,TUBO DI INGRESSO
ESAGONAL SPACER M5X15,DISTANZIALE ESAGONALE M5X15
PIN THREADED,SPINA THREADED
"VALVE ASSY,SPRAYHEAD-120V",VALVOLA
"FULL IND,WARM,H2,4ZONE,1S,1000X900X800H","INDUZ,AMPIA SUP,4 ZON+VANO CALDO,1L,H800"
SUPPORT VERTICAL-RH,SUPPORTO VERTICAL-RH
SCRAPING COFFEE PIN,SPINA
CHECK-VALVE OV20/DN20,VALVOLA
LARGE PLAIN WASHER_M8,RONDELLA PIANA GRANDE_M8
GASKET TANK LID-SILICONE,GUARNIZIONE
BEARING 6304,CUSCINETTO 6304
WORKING TOP,PIANO DI LAVORO
ENGINE SHAFT,ALBERO
GATE VALVE,VALVOLA
DECAL_FRONT_875/890_LX,ETICHETTA
PLASTIC ADJUSTABLE FEET,PIEDINI REGOLABILI IN PLASTICA
"WELDMENT,SINGLE SHUTTLE SHELF",RIPIANO
FIXING,FISSAGGIO
ROD REDUCTION,ASTA REDUCTION
"HOT PASST,CUPB,VENT+SHELF+SLIDING D,1200","TAV,ARM,CALDO PASS,+RIP+PORTE SC 1200MM"
SOLUTION PH 7.01,SOLUZIONE PH 7.01 25 BUSTINE DA 20 ML HI70007P
LEVER FOR TAP,LEVA PER RUBINETTO
CONNECTION ANGLE 3/8,ATTACCO AD ANGOLO 3/8
SHUNT RELEASE,DEVIATORE EL
"REPL,= 0700430539",SILIKONSCHLAUCH 6X2(1ST=1CM
FAN 92X92X5,VENTILATORE 92X92X5
CHAMBER 101A1267B COMPONENTI,CAMERA DI MISCELAZIONE
THERMOSTAT K55-L1042,TERMOSTATO K55-L1042
ISOLATION,ISOLAMENTO
SP FILTER,FILTRO
CUTTER BLOCK,PORTALAMA
"PLAN,MIX,-FLOOR-FLAT PANEL+HUB-20L-1P/50","MESC,PLAN,20L-PAVIM-MEC-H-240/1/50"
REAR CRANKCASE,CARTER POSTERIORE
SCREW NUT,VITE NUT
KNIFE AS208,COLTELLO AS208
CLOSER,CHIUSURA
BALL SCREW,VITE
"LENS,ELEC BOX,LIGHTED,3312",PROTEZIONE IN VETRO
CARRIAGE ARM,BRACCIO CARRO
TEMPERATURE THERMOSTAT,TERMOSTATO DI TEMPERATURA
PIN XBE5,PERNO XBE5
GLASS STRIP,GUARNIZIONE
BRANCH PIPE,TUBO DI RACCORDO
PIEZO IGNITOR,ACCENDITORE PIEZO
"WATER LINE,ASSY B-SERIES",TUBETTO
HOSE 19X27MM,TUBO FLESSIBILE 19X27MM
COMPLETE CONNECTION,ATTACCO RIPIANO COMPLETO
"SCREW M2,9X9,5","VITE M2,9X9,5"
SHAFT 205MM,ALBERO PALA 205MM
SUPPORT DETECTEUR MVS,SUPPORTO DETECTEUR MVS
BUSH NYLON,BUSSOLA NYLON
PUMP DRAIN PIPE,TUBO DI SCARICO POMPA
SUPPORT POS 185,POS 185 SUPPORTO RESISTENZA POSTERIORE
BLADES,GRUPPO COLTELLI DEN
BEARING SLEEVE,CUSCINETTO
USE 4100585,USARE 4100585
SDC DRAIN BRACKET,SQUADRETTA
"REPL,= 0700214947",KAPILLARROHRREGLER 55.13254
EMI FILTER,FILTRO ELETTRICO DI RETE FN2010-6-06
PROGRAMCARD,SONDE OTTICHE LIV GHIACCIO
BRACKET SENSOR,STAFFA SENSORE
PIPE REAR,CONDUTTURA REAR
BELL 90/130GRAMS,CAMPANA 90/130 GRAMMI
GUIDE UPPER,GUIDA UPPER
SIDE PLATES,PIASTRA
DECAL_WARNING_ELECTRIC SHOCK,ETICHETTA
CAP,CALOTTA
VACUUM VALVE,VALVOLA DI DEPRESSIONE
BOILER INSULATOR,ISOLANTE
SUPPORT SENSOR,SUPPORTO SENSORE
BEARINGSET BM-20,KIT CUSCINETTI
DOOR RIGHT,PORTA SI PN10/200 DX C/CHIAVE
CARDBOARD COVER,COPERCHIO GT1 TOUCH/PUSH
SPRAY OVERFLOW FLANGE,FLANGIA
THERMAL FUSE,FUSIBILE
EVERPURE CARTRIDGE ESO7,FILTRO ACQUA
"REPL,= 9205850101",RIVESTIMENTO ESTERNO
FILTER 500MM,FILTRO
PIPE G9,CONDUTTURA BRUCIATORE FORNO G9
ACCESSORY,"ACCESSORIO TAGLIOLINI ATT K 1,5MM"
BRACKET LEFT,SQUADRETTA
DOOR SPRING SENSOR,SENSORE
VACUUM 220/50,ASPIRATORE 220/50
COMPLETE BOX,BOX COMPLETO
"HEATING ELEMENT,11KW 3X440VAC","RESISTENZA,11KW 3X440VAC"
RUBBER PIPE 6MM,TUBO DI GOMMA
FRONT SUPPORT,ZOCCOLO ANTERIORE
TANK PROBE,SONDA TEMP VASCA
"EL,WARM CAB,2DOOR,H2,GN,1S,1000X800X550H",BASE ARMADIATA 1PORTA1LATO1000MM-H2-H550
SPRAY OVERFLOW PIPE,CONDUTTURA
LOWER RAIL ASSEMBLY,SOSTEGNO
UPPER DRAWER,CASSETTO SUPERIORE
"COMPRESSOR,EMT49HLP,R134A,220V-240V 50HZ","COMPRESSORE,EMT49HLP,R134A,220V-240V 50H"
INSERTION STRIP,FASCIA
ROUND SPACER,ANELLO DISTANZIATORE
RACK-RAIL FRONT,CREMAGLIERA ANTERIORE
"ALUM,SHELV,,POLY,TIERS-COLDROOM 203X203","SC IN ALLUM RIP,POLYETH,CELLE 203X203"
"CASING,890-T,BLACK",PANNELLO
GAS VALVE,VALVOLA GAS
"WORK TOP,CLOSED,1-S,BACKSPL,200X850X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,200XH250"
LEFT BRIDGE-SUPPORT,SUPPORTO
"PANEL W/DECALS,ACCESS(SNGL-TF",PANNELLO
SHAFT TR/BM-250,BRACCIO TRITURATORE TR/BM-250
LID ASSEMBLY_RESERVOIR_ONE-PIECE_RC400,COPERCHIO
LEFT HINGE,CERNIERA SX
ESPAGNOLETE KIT,ESPAGNOLETE
PLASTIC CAM,CAMMA IN PLASTICA
SECURITY LEVER,GANCIO SERRATURA COP GT ROSSO RAL 3028
AIR GUIDE,CONVOGLIATORE ARIA
CHROMIUM-PLATED RING,GHIERA GRUPPO REGOLAZIONE
LEVEL SENSOR,SENSORE DI LIVELLO
OVERFLOW JOINT-LOW LEVEL,TROPPOPIENO GIUNTO-LIVELLO BASSO
GUIDE PLASTIC,GUIDA PLASTIC
AIR-BREAK,AIR BREAK ADDOLCITORE
BLACK BUTTONK,TASTO NERO
IMPORTED BASE (1100,BASE
"O-RING OR,3206","ANELLO OR OR,3206"
"REPL,= 077019002490",KEIL ZU EXZENTER S 33
ACCUMULATOR,ACCUMULATORE
LEVER SHORT,LEVA CORTA
HANDLE RAL5011,MANIGLIA
BEARING BOX,BOX CUSCINETTO
"LINK CABLE T25-2,5M","CAVO DI COLLEGAMENTO T25-2,5M"
"REPL,= 077481750603",UGELLO
BUMPER,PARACOLPI
"COUPLING_1/2""NPT_LF BRASS",GIUNTO DI RACCORDO
FRONT PLASTIC GRIDDLE,GRIGLIA FRONTALE IN PLASTICA
WATER SOFTENER,ADDOLCITORE
DUMMY SCREW,GAMBO
KIT COVER PLATE,PANNELLO DI COPERTURA
HOSE NIPPLE,NIPPLO FLESSIBILE
MOTOR LUX KIT,MOTORE LUX KIT
"GROMMET,PLUG,PIC",ANELLO PREMISTOPPA
HANDLE STOPPING 88X40MM,FERMO
"FUNNEL ASSY,SST-BLK HDL(7,62",IMBUTO CAFFE
O-RING 1X7X9,ANELLO OR 1X7X9
SEALING STRIP,LISTELLO DI TENUTA
COMPRESSOR D35 COMPRESSOR,COMPRESSORE
FAUCET_MODEL S,CORPO RUBINETTO
KIT_PREVENTIVE MAINTENANCE_CFB 3341/3511,KIT RIPARAZIONE
DOUBLE SWITCH,INTERRUTTORE DOPPIO
OWERFLOW PIPE 460MM,CONDUTTURA STAND PIPE 460MM
DRIVER COVER,COPERTURA DRIVER
"TAKEOFF CAPACITOR 6,3MF","CONDENSATORE DI SPUNTO 6,3MF"
"REPL,= 0700246564",TAUCHHEIZKOERPER 6 K 6 K
"RELAY,25 AMP,120V",RELE
GRADUATION LM500,GRADUAZIONE LM500
"SWITCH-E02,001",INTERRUTTORE
ELECTRICAL INSTALLATION BOARD,QUADRO ELETTRICO
CHIP DISC,DISCO PER LISTELLI
THERMOSTAT D680-D820,TERMOSTATO
PRECISION CALLIPER,CALIBRO A CORSIO
PIN 8MM,PERNO 8MM
BRACKET 500 WHITE,SQUADRETTA 500 WHITE
PLASTIC GRILL,GRIGLIA IN PLASTICA
RING,ANELLO
MAIN TERMINAL,MORSETTIERA PRINCIPALE
COMPRESSOR MPT14LA,"COMPRESSORE MPT14LA CSR V,220-240/50 NEW 1/2CV"
GRUB SCREW,GRANO
"CAPACITOR 12,5MF","CONDENSATORE EL, 12,5MF"
O-RING OR174,ANELLO OR 174
THERMOSTAT 35°/+35°C,TERMOSTATO PRODIGY F2000 35°/+35°C
LOCKING SPACER,DISTANZIALE DI BLOCCO
HARNESS 810,CABLAGGIO
PANEL SCREW,"VITE TCCR 3,5X6,5 DIN7981 NICH"
BACK PLATE RIGHT,PIASTRA
"CAP,PLASTIC 187X,75",CALOTTA
SPRING PRESS,PRESSA DI PRIMAVERA
GLOW LAMP,LAMPADA
SUPPORT COMPOSANT K120/180,SUPPORTO COMPOSANT K120/180
"REPL,= 077019003294",BELUEFTER 190003294 TH-Z 12
"DRAIN 1,5","PILETTA 1,5"
PINION,PIGNONE
FRONT PANEL 425X236,PANNELLO FRONTALE 425X236
"EL,SOLID TOP,2ZONE,ECO,1S,BS,500X900X700","TUTTAPIAS,EL,ECOTOP,2 ZONE,1L,,ALZ,H700"
DECAL_T-PAD_DUAL BEAN_CDP_GNB,ETICHETTA
COOPER TUBE,TUBO IN RAME
INTERNAL FLANGE,FLANGIA INTERNA
HANDLE BOLT,BULLONE MANIGLIA
KIT DETERGENT DISPENSER,KIT DOSATORE DETERGENTE
CLAMP 40-60,FASCETTA
OIL EXTRACTOR,FILTRO ESTRATTORE OLIO
SOAP BOX,VASCHETTA DETERSIVO
HARNESS_AUGER MOTORS_GNB_CE,CABLAGGIO
"O-RING DIA,9,92X2,62MM","ANELLO OR DIA,9,92X2,62MM"
WHEEL FG,RUOTA FG
T-TUBE,T-VERSCHRAUBUNG
PUMP SUCTION,POMPA
SILICONE WASHER,RONDELLA
POINTER,INDICE
SAFETY THERMOSTAT 156°C,TERMOSTATO DI SICUREZZA 156°C
"BRAKED NOZZLE D,1,80MM","UGELLO FRENATO D,1,80MM"
GUIDE INOX LEFT,GUIDA IN ACCIAIO INOX SX RIPIANO PER FRIGO PASTRY
BOTTOM PLATE XBM10,PANNELLO DI FONDO XBM10
INFRA-RED LAMP,LAMPADA INFRAROSSI BIANCA
FLAP W/ HINGE,FLAP
"EVAPORATOR ASSEMBLY,CS-4E/2D/3D-290",EVAPORATORE
KIT_PREVENTIVE MAINTENANCE_G-COOL_2 BOWL,KIT RIPARAZIONE
"100LT EL,BOIL,PAN-INDIR,HEAT,AUTOM","PENTOLA ELETT 100LT AUTOM RISC,INDIR"
RINSE ARMS,BRACCIO DI RISCIACQUO
"NOZZLE DIA,2,15MM","UGELLO DIA,2,15MM"
MAIN TAP,RUBINETTO PRINCIPALE
ADJUSTING BOLT,BULLONE REGOLABILE
DOOR-442MM PIECE,PORTA
CLOSED BASE 100X800X550,BASE CHIUSA 100MM H550
GUARD ASSY BPO45,GRUPPO PROTEZIONE BPO45
BALL-GRIP,POMELLO
LUBRICANT TUBE,TUBETTO PERSON 25G GRASSO TECNITE 332FM(NSF H1)
UPPER PROTECTION,PROTEZIONE SUPERIORE KE-SOFT
PROBE 60/+300°C,SONDA PER SUPERFICIE MISTA K 60/+300°C
CROSSPIECE ASSY,TRAVERSA ASSY
CLOSED BASE 300X850X450,VANO CHIUSO 300XH450
"O-RING EPDM 36,09X3,53",ANELLO OR
SCREW M4*8,VITE M4*8
CAP NUT M5,DADO CIECO M5
BELT L=380MM,CINGHIA L=380MM
"FULL IND,CUPB,H2,4Z,1S,BS,1000X900X700H","INDUZ,AMPIA SUP,4 Z+VANO ARM+ALZ,1L,H700"
LABEL BLANK_ORANGE_STICKER_MODEL SIZE:30X100MM,ETICHETTA
M4D SPECIAL NUT,DADO
FRAME RH,CORNICE RH
MAGNET HOLDER,SUPPORTO
CROSSBAR,TRAVERSINO
BASKET RESIN,CESTO RESIN
"EL,WARM CAB,2DOOR,H2,GN,1S,1000X800X450H",BASE ARMADIATA 1PORTA1LATO1000MM-H2-H450
"REPL,= 077463025019",EVAPORATORE
LID O-RING,COPERCHIO ANELLO
HANDLE LOCK,FERMO MANIGLIA
ANEMOMETER TESTO 410-2,ANEMOMETRO TESTO 410-2
BACK,RETRO INOX SORBYDREAM
FAN PANEL,PANNELLO
VARIATOR,VARIATORE
"FULL IND,WARM,H2,4ZONE,1S,1000X900X700H","INDUZ,AMPIA SUP,4 ZON+VANO CALDO,1L,H700"
THERMOREGULATOR EVK411N7VCS,TERMOREGOLATORE EVK411N7VCS
LABEL_SWITCH PANEL_DOOR_GB8MP,ETICHETTA
FAN HOUSING,ALLOGGIAMENTO VENTILATORE
START BUTTON,PULSANTE DI START
"WORK TOP,CLOSED,1-S,BACKSPL,900X850X250H","ELEMENTO NEUTRO CHIUSO,1LAT,ALZ,900XH250"
BASKET ASSEMBLY,CESTO
WEDGE 8X7X45,CUNEO 8X7X45
MAGNET M634,MAGNETE M634
BAR RECTANGULAR,BARRA RECTANGULAR
CHIMNEY PANEL,PANNELLO
"FAUSET ASSY,PLASTIC-BLK BLANK",CORPO RUBINETTO
"SUCT,LINE",LINEA ASPIRAZIONE
HEATING BOARD,SCHEDA RISCALDAMENTO
WATER SPOUT KIT,KIT CORPO EROGATORE PER TESTA DOCCIA NEW
COMPLETE DOOR ASSEMBLY,ASSIEME PORTA COMPLETA
COMMUTATOR 6 POS,COMMUTATORE 6 POS
PROTECTION 350 BF,PARALAMA FISSO PER 350 B
AIR FILTER PIC3T,FILTRO ARIA
WASHER M8X32,RONDELLA M8X32
KNOB RED,"MANOPOLA ROSSA I,C"
LAMP HOLDER,PORTALAMPADA
STARTING RELAY,RELE' DI AVVIAMENTO
TENSIONNING GUIDE,GUIDA REGOLATRICE
MILK FROTHER CARD,SCHEDA
FUNNEL PLASTIC-BLACK,IMBUTO CAFFE
FILTER EMI,FILTRO
"PIPE_WASHING D,9,5X15,9","TUBO SIL,PLATINICO RINFOR,D,9,5X15,9"
WAIST CLAMP,FASCETTA
INJECTOR,INIETTORE
CONDENSER 10X4,CONDENSATORE
SPECIAL SCREW,VITE SPECIALE
SPRING EXTEND XL,MOLLA
TOGGLE SWITCH,INTERRUTTORE A GINOCCHIERA
SLIDE GUIDE,SLITTA
OVEN GASKET,GUARNIZIONE FORNO
MOTOR ASSY XBE30,GRUPPO MOTORE XBE30
BRACKET LH,SQUADRETTA LH
KNURLED KNOB,MANOPOLA ZIGRINATA
FLOTING BODY,CORPO GALLEGGIANTE
COMPRESSOR CAJ9510T R22,COMPRESSORE CAJ9510T R22
VALVE 2,VALVOLA 2
SANITARY HOSE,TUBO FLESSIBILE
ADHESIVE LABEL ELECTROLUX,ADESIVO ELECTROLUX
DOSER LID,COPERCHIO
FRAME SX,CORNICE SX
CONNECTION FAST-FIT,ATTACCO PER PANNELLI FAST-FIT
LEVER,LEVA
GASKET 45MM,GUARNIZIONE 45MM
FOOT 2,PIEDE 2
COVERAGE EVAPORATOR,COPERTURA EVAPORATORE
DRYING THE HOOD,CAPPOTTA
BE5 CRADLE,BE5 CULLA
DRYER HOOD WELDING,CAPPOTTA
"PASSTH,OPEN BASE,H2,GN,2S,800X900X550H","VANO APERTO PASSANTE,H2,GN,2LAT,800XH550"
DOSAMAT CASING SCREW,VITE
DOOR-550MM,PORTA
MEASURER ABS,MISURINO
PIN T25,PERNO T25
CABLE TRANSFORMER-DISPLAY,CAVO TRANSFORMER-DISPLAY
DRYER BASEMENT,BASAMENTO
RADIATION SHEET 800X800-850,PIANO REFRATTARIO
CURRENT SUPPLY 400-440V,ALIMENTATORE 400-440V
VENT PIPE,CONDUTTURA
TABLE,PIANO
STICKER FOR PANEL,ADESIVO PER CRUSCOTTO
BRACKET WHITE,SQUADRETTA
OIL TUBE,TUBETTO
PIN 10X8X56,SPINA
BASE WELDING,BASE
KNOB BROWN,MANOPOLA
USE 4100071,USARE 4100071
"EL,BAINM,1/1GN,TAP(L),1S,BS,500X800X250H","BAGNOMARIA EL,TOP1/1+RUBIN 1LATO C/ALZ"
SPACER XBE60,DISTANZIALE XBE60
WIRE CLIP,FASCETTA FILO 16
GREASE 25G,GRASSO PER RUBINETTI 25 GR
ROLLING PIN,MATTARELLO
"WASHER DIA,40X1","RONDELLA DIA,40X1"
COVER PANEL,PIASTRA DI COPERTURA PER IL PORTELLO DI SERVIZIO
CAPACITOR 16MF-450V,"CONDENSATORE EL, 16MF-450V"
WATERJET,TESTA DOCCIA
SPACER EQ XB20/30/40,DISTANZIALE EQ XB20/30/40
TWO-WAY DIVIDER,"J,G PI 2312S"
FILL NOZZLE_AUTOFILL,UGELLO
SANITIZER 6PCS,SANITIZZANTE 6PCS
WATER REGULATOR,REGOLATORE PORTATA
"REPL,= 0700567941",RESISTENZA 1000W
H70 BUSH,BUSSOLA H70
STEM L=75MM,ASTINA L=75MM
LATCH HOOK,AGGANCIO
FRAME PLATE,PIANO TELAIO GH2 2016 ZINC
WHITE PLUG,TAPPO BIANCO
WHEEL SUPPORT,PORTARULLINO
BASE LEFT COMPLETE,BASE
CONNECTION LEFT,ATTACCO SINISTRO
LOCKING MECHANISM,MECCANISMO CHIUSURA
"ALUM,CORNER SHELV,-POLY,TIERS-475X1276MM","SC,AD ANG ALLUM,RIP,POLYETH-475X1276MM"
PLATE SPLASH,PIASTRA
SUPERTHERM-CONTROL,CONTROLLO SUPERTHERM
"WORKTOP CUPB,PASSTH+SHELF+SLIDING D,1000",TAVOLO ARMADIATO PASSANTE+RIPIANO E PORTE SCORREVOLI 1000 MM
CLAMP 26-38,FASCETTA 26-38
"EL,FRYTOP,RIBBED PL,1S,BSPL,800X800X250H",FRY TOP RIGATO EL MODULO 1 LATO C/ALZ
PERISTALTIC HOSE,TUBO MEMBRANA
CURTAIN BRACKET,ASSE TENDINA
DETERGENT SUPPORT WALL,SUPPORTO DETERGENTE PER MURO
SPRING XB20,MOLLA XB20
HINGE WEDGE,CERNIERA
PADDLE GEAR D65,INGRANAGGIO
CIRCUIT BOARD,SCHEDA ELETTRONICA
SWITCHING POWER SUPPLY,INTERRUTTORE
COUNTER SPRING,MOLLA
TAP NOSE,RUBINETTO
CONTROL PANEL ADHESIVE,CRUSCOTTO
WASHER (350GDP,RONDELLA (350GDP
POWER BOARD,SCHEDA DI POTENZA
GLASS 4GN,VETRO 4GN
"REPL,= 0780069641",PARZIALIZZATORE
LABEL 'K 1,ETICHETTA ADESIVA
PLASTIC LED HOLDER,PORTA LED PLASTICA MP LED
FLUE,CONDOTTO
KNOB KIT,MANOPOLA KIT
DISTANCE RING,ANELLO DISTANZIALE
WATER CURTAIN HOOK,GANCIO PER TENDE D'ACQUA
"EL,WARM CAB,4D,PAS,H2,GN,2S,1000X800X450",BASE ARMADIATA 1PORTA2LATI1000MM-H2-H450
ARM MEATS,BRACCIO SALUMI
CASTOR,RUOTA PIVOTANTE
PREINSULATED PLUG TERMINAL,CONNETTORE
BLOCKING BOLT,BULLONE DI BLOCCAGGIO
"HOOD TYPE,INSUL,ESD,CWS,FILTER,DD,80R/H","LAV,CAP,COIB,ESD,0LIME,CLEAR BLUE,DD,ADD"
PHOTOCELL CONTROL,SCHEDA ELETTRONICA
CONNECTOR SUPPORT RJ45,SUPPORTO CONNETTORE RJ45 PASSANTE
COVER BASIN,COPERTURA BACINELLA REMOTO
STIRRUP ASS,STAFFA ASS
"MULTIRINSE RT,200R/H,ELEC,0-LIME,R>L,ESD",CESTO TRAS ACTIVE 200 C/H DECALCIF AUT ELETT D>S ESD
SPEED REGULATOR,REGOLATORE DI VELOCITA
EVAPORATOR CRANKCASE,CARTER EVAPORATORE
BRACKET BOX I=40,MEMORY CARD
OVERTEMPERATURE LIMITER,LIMITATORE TEMPERATURA 100°C 1NC 10A 240V
HEAT SENSOR,SONDA
SLIDING DOOR LEFT,ASSIEME PORTA SCORREVOLE SINISTRA
NONRETURN VALVE DN6,VALVOLA DI NON RITORNO DN6
MESH COVER,COPERTURA IN RETE
DROP DISH,RACCOGLIGOCCE
COVERING RH,COPERTURA RH
HARNESS_CABINET_120V_PIC2/3/33,SOPRALZO
USE 4100283,USARE 4100283
MAGNET 8X35,MAGNETE 8X35
COIL CO2,BOBINA
SLICE PROTECTION,PROTEZIONE
MOTOR MONO,"MOTORE C/CONDENSAT, 1-P 230-240V"
MAIN PIPE,CONDOTTO PRINCIPALE
PIPE FITTING,RACCORDO
U-BOLT,BULLONE
HEIZSTAB,STUFA
JOINT 3PZ,GIUNTO 3PZ
PROBE ML305C,SONDA ML305C
